quantity;artist;album;genre;preis;monat;
1;Advent;Pain & Suffering;Hardcore;CHF 20;Feb 18;
1;True Love;Heaven's Too Good For Us ;Hardcore;CHF 20;Feb 18;
1;Bent Life;Never Asked For Heaven;Hardcore;CHF 20;Feb 18;
1;Desolated;The End;Hardcore;CHF 50;Feb 18;
1;Turbo A.C.s;Radiation;Punk;CHF 25;Feb 18;
1;Expire;Pendulum Swings;Hardcore;CHF 20;Mär 18;
1;Desolated;Verse Of Judas;Hardcore;CHF 70;Mär 18;
1;Crowned Kings;Sea Of Misery;Hardcore;CHF 20;Apr 18;
1;The Setup;This Thing Of Ours;Hardcore;CHF 15;Apr 18;
1;Harm/Shelter;Paycheck;Hardcore;CHF 15;Apr 18;
1;Neighbourhood Watch;Tales From The Hood;Hardcore;CHF 20;Apr 18;
1;First Blood;Silence Is Betrayal;Hardcore;CHF 20;Mai 18;
1;Incendiary;Crusade;Hardcore;CHF 20;Mai 18;
1;Incendiary;The Cost of Living;Hardcore;CHF 20;Mai 18;
1;Vindland;Hanter Savet;Black Metal;CHF 20;Jun 18;
1;Backswing;SOS;Hardcore;CHF 20;Jun 18;
1;Knocked Loose;Laugh Tracks;Hardcore;CHF 20;Jun 18;
1;Madball;For The Cause;Hardcore;CHF 20;Jun 18;
1;Birds In Row;We Already Lost The World;Punk;CHF 10;Jun 18;
1;Dying For It;Born to Deny;Hardcore;CHF 15;Jul 18;
1;Spine;Faith;Hardcore;CHF 20;Jul 18;
1;Bonecrusher;Every Generation;Punk;CHF 20;Jul 18;
1;Short Days;Short Days;Punk;CHF 25;Jul 18;
1;Have Heart;What Counts;Hardcore;CHF 20;Aug 18;
1;Have Heart;Songs To Scream At The Sun;Hardcore;CHF 20;Aug 18;
1;Grabuge;Perdu D'Avance;Punk;CHF 25;Aug 18;
1;Gouge Away;Burnt Sugar;Hardcore;CHF 25;Sep 18;
1;Bonecrusher;Boulevard of Broken Bones;Punk;CHF 25;Sep 18;
1;Weak Aside;Forward Into Darkness;Death Metal;CHF 20;Okt 18;
1;Requiem;Global Resistance Rising;Death Metal;CHF 20;Okt 18;
1;Keitzer;Ascension;Death Metal;CHF 15;Okt 18;
1;Decaying;To Cross The Line;Death Metal;CHF 20;Okt 18;
1;Lifeless;The Occult Mastery;Death Metal;CHF 20;Okt 18;
0;Discreation;Procreation Of The Wretched;Death Metal;CHF 20;Okt 18;
0;Terror;Total Retaliation;Hardcore;CHF 20;Okt 18;
1;True Love;The Pact;Hardcore;CHF 20;Okt 18;
1;Ultra Razzia;Ultra Razzia;Punk;CHF 20;Okt 18;
